ps3,best_match,percent,all_matches,,,,
sprites\bu3\1\bu3_b11_def13.png,bmp\tati\bu2\1\bu2_defa13,100,"('bmp\\tati\\bu2\\1\\bu2_defa13', 1)",,,,
sprites\bu3\1\bu3_b11_def12.png,bmp\tati\bu2\1\bu2_defa12,100,"('bmp\\tati\\bu2\\1\\bu2_defa12', 3)",,,,
sprites\bu3\1\bu3_b11_def11.png,bmp\tati\bu2\1\bu2_defa11,100,"('bmp\\tati\\bu2\\1\\bu2_defa11', 6)",,,,
sprites\bu3\1\bu3_b11_def10.png,bmp\tati\bu2\1\bu2_defa10,100,"('bmp\\tati\\bu2\\1\\bu2_defa10', 8)",,,,
sprites\bu3\1\bu3_b11_def2.png,bmp\tati\bu2\1\bu2_defa2,100,"('bmp\\tati\\bu2\\1\\bu2_defa2', 6)",,,,
sprites\bu3\1\bu3_b11_def7.png,bmp\tati\bu2\1\bu2_defa7,100,"('bmp\\tati\\bu2\\1\\bu2_defa7', 3)",,,,
sprites\bu3\1\bu3_b11_def1.png,bmp\tati\bu2\1\bu2_defa1,100,"('bmp\\tati\\bu2\\1\\bu2_defa1', 7)",,,,
sprites\bu3\1\bu3_b11_def3.png,bmp\tati\bu2\1\bu2_defa3,100,"('bmp\\tati\\bu2\\1\\bu2_defa3', 8)",,,,
sprites\bu3\1\bu3_b11_def4.png,bmp\tati\bu2\1\bu2_defa4,100,"('bmp\\tati\\bu2\\1\\bu2_defa4', 1)",,,,
sprites\bu3\1\bu3_b11_def6.png,bmp\tati\bu2\1\bu2_defa6,100,"('bmp\\tati\\bu2\\1\\bu2_defa6', 8)",,,,
sprites\ber\1\ber_a24_warai4.png,bmp\tati\ber\1\ber_waraia4,100,"('bmp\\tati\\ber\\1\\ber_waraia4', 1)",,,,
bmp\tati\ber\1\ber_waraia4,bmp\tati\eri\1\eri_akuwaraia3,100,"('bmp\\tati\\eri\\1\\eri_akuwaraia3', 1)",,,,
sprites\cor\1\cor_a12_majime2.png,bmp\tati\cor\1\cor_majimea2,100,"('bmp\\tati\\cor\\1\\cor_majimea2', 1)",,,,
sprites\eri\1\eri_b13_ikari1.png,bmp\tati\eri\1\eri_ikaria1a,100,"('bmp\\tati\\eri\\1\\eri_ikaria1a', 1)",,,,
sprites\rio\1\rio_a12_ikari1a.png,bmp\tati\rio\1\rio_ikaria1a,100,"('bmp\\tati\\rio\\1\\rio_ikaria1a', 1)",,,,
sprites\rio\1\rio_a12_komaru1a.png,bmp\tati\rio\1\rio_komarua1a,100,"('bmp\\tati\\rio\\1\\rio_komarua1a', 1)",,,,
sprites\rio\1\rio_a12_odoroki1.png,bmp\tati\rio\1\rio_odorokia1,100,"('bmp\\tati\\rio\\1\\rio_odorokia1', 2)",,,,
bmp\tati\wil\1\wil_majimea2,bmp\tati\wil\1\wil_nayamua1,100,"('bmp\\tati\\wil\\1\\wil_nayamua1', 1)",,,,
sprites\rio\1\rio_a12_itai1.png,bmp\tati\rio\1\rio_itaia1,100,"('bmp\\tati\\rio\\1\\rio_itaia1', 6)",,,,
bmp\tati\gen\1\gen_majimea2,bmp\tati\nan\1\nan_komarua4,100,"('bmp\\tati\\nan\\1\\nan_komarua4', 1)",,,,
bmp\tati\enj\1\enj_fumana1,bmp\tati\enj\1\enj_komarua4,100,"('bmp\\tati\\enj\\1\\enj_komarua4', 1)",,,,
sprites\eva\1\eva_b24_naku2.png,bmp\tati\eva\1\eva_nakua2g,100,"('bmp\\tati\\eva\\1\\eva_nakua2g', 1)",,,,
sprites\eva\1\eva_b24_naku4.png,bmp\tati\eva\1\eva_nakua4g,100,"('bmp\\tati\\eva\\1\\eva_nakua4g', 1)",,,,
sprites\eva\1\eva_b24_naku5star.png,bmp\tati\eva\1\eva_nakua5g,100,"('bmp\\tati\\eva\\1\\eva_nakua5g', 1)",,,,
sprites\eva\1\eva_b24_naku3.png,bmp\tati\eva\1\eva_nakua3g,100,"('bmp\\tati\\eva\\1\\eva_nakua3g', 4)",,,,
sprites\eva\1\eva_b26_naku4.png,bmp\tati\eva\1\eva_nakub4g,100,"('bmp\\tati\\eva\\1\\eva_nakub4g', 5)",,,,
sprites\eva\1\eva_b26_naku5star.png,bmp\tati\eva\1\eva_nakub5g,100,"('bmp\\tati\\eva\\1\\eva_nakub5g', 8)",,,,
sprites\eva\1\eva_b26_naku3.png,bmp\tati\eva\1\eva_nakub3g,100,"('bmp\\tati\\eva\\1\\eva_nakub3g', 9)",,,,
sprites\rud\1\rud_a14_akuwarai2.png,bmp\tati\rud\1\rud_akuwaraia2g,100,"('bmp\\tati\\rud\\1\\rud_akuwaraia2g', 2)",,,,
